Character,Dialogue
unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired: January 2015 to April 2020.*"
unknown,(Birds chirp)
unknown,(Footsteps echo)
unknown,(Footstep clomp)
unknown,(Doors creaks open)
unknown,Immigration?
Revenue agent,: Revenue.
Revenue agent,Missus Rose! There are people here from the government!
Revenue agent,(Rushed footsteps thud)
Revenue agent,I've been gutted!
Revenue agent,"John, I've been stripped of every morsel of pleasure I earned in this life!"
Johnny,": Well, how do you think I feel, Moira?!"
Johnny,"Eli was family, for God's sake!"
Johnny,"Leave your finances to me, he said! Son of a b*tch!"
Alexis,": Baby, it's crazy, people are just like, taking our stuff!"
Alexis,"I said, they're taking our stuff!"
Alexis,"Can you just step out of the club for a second, ple..."
Alexis,"Hold on, hold on! Those bags are not for you, my boyfriend bought those for me, so, theoretically, they are his!"
Revenue agent 1,": Please sir, can you step aside?"
David,": No, you step aside! You step aside!"
David,I'm still trying to wrap my mind around what kind of a sick person wants to get paid to destroy another person's life!
David,Destroy another person's life!
David,Where are you taking that?!
David,"My very soul has been kidnapped, there's no ransom, no one's coming to save me!"
Johnny,": We've got 15 minutes to collect our personals, can we pick up the pace?!"
Moira,": No, no!"
Moira,Did you put Kristen with Robin? They don't like each other!
Moira,Nooooo! Nooooo! (Sobbing)
Lawyer,": Eli really did a number, Johnny."
Lawyer,He took everything.
Lawyer,"They're still looking for him, they think he's in the Caymans."
Lawyer,"He was our business manager, he's supposed to pay taxes!"
Lawyer,Hmm.
Lawyer,"There is a very small amount set aside for you, and one asset the government has allowed you to retain."
Lawyer,The kids.
Lawyer,": The children are dependents, Moira."
Lawyer,"You bought a small town in 1991, Johnny."
Lawyer,"Yes, I bought that as a joke for my son."
Lawyer,"Wait, you actually purchased that town?"
Lawyer,"Yes, I purchased the town, how else could I get the deed?"
Alexis,: You could've photo shopped the deed!
David,: And saved the money!
David,"Why would I Photoshop a deed, the joke was owning the town!"
Moira,": Okay, stop."
Johnny,: That was the joke!
David,: Oh my God!
Johnny,": Well, that was the joke!"
Lawyer,: To Johnny's credit...
Moira,: What do you mean?
Moira,"You can live there for next to nothing, until you get back on your feet."
Moira,"I'm sure there's a penthouse we can move into, please, there are other options."
Moira,"Well, homelessness is still on the table."
Moira,♪
Alexis,There was nowhere to lie down!
Alexis,"There was nowhere to lie down, there was no bed!"
Alexis,There was no kitchen.
Alexis,I know!
Alexis,No.
Alexis,"cows all over the place, like, everywhere."
Alexis,I don't know what's happening!
Alexis,(Clears throat) Johnny Rose!
Alexis,Roland Schitt.
Alexis,"Oh, you're the mayor we're supposed to meet."
Alexis,"That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!"
Alexis,(Chortles)
Alexis,"Oh, this is my family, my son..."
Alexis,"Let's get you all squared away in the office there, Johnny, okay, the gals can grab the bags, you follow me, all right, right this way, watch it, honey, here we come."
Moira,": Children, keep an eye on these bags."
Moira,"Apparently in hell, there's no bellman!"
Alexis,": David, what are we..."
David,: Shut up!
Alexis,: You shut up!
David,: You shut up!
Alexis,": Um, you shut up!"
David,: You shhhut up!
David,The name is Rose.
David,I don't see a reservation under that name.
David,"It's okay, Stevie, I set aside two rooms for them."
David,"Well, there's nothing here."
